source_id,phot_g_mean_mag,solution_id,nss_solution_type,ra,dec,parallax,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags
5706247374276062720,12.545454978942873,4338096422163308546,SB1,,,,584.6494635187541,15.84803581237793,277.93737304196213,82.62251281738281,0.033424645941606,0.0449465960264205,34.41133737404743,50.899993896484375,80.32467695641664,0.9868549704551696,20.95353583077449,0.8887372612953186,,,24,24,0.2279053777456283,23.576749801635746,1.2828330993652344,1.0,0
5706762839070102016,11.248364448547363,4338096422163308546,SB1,,,,706.7175217343827,14.050159454345703,137.87596722997603,70.1896743774414,0.0736439420519263,0.0403422601521015,338.8577907728384,35.359283447265625,92.62599444644457,0.1864670068025589,5.930870859234936,0.2910119295120239,,,29,29,0.3344923555850982,20.380163192749023,0.2819526195526123,1.0,0
5707226656882738560,12.219151496887209,4338096422163308546,SB1,,,,26.95021544513588,0.0117841763421893,-5.500257416150663,0.9806498289108276,0.2252791003479692,0.0195663440972566,320.8153344917509,13.588675498962402,15.075123146050723,0.4071047008037567,22.137947079979394,0.628663957118988,,,30,30,0.4252431988716125,35.21427917480469,0.6340309977531433,1.0,0
5707935708739753472,12.524169921875,4338096422163308546,SB1,,,,8.383484236926995,0.0017079951940104,-3.1702023703555864,0.83075350522995,0.0441369017824883,0.0349417403340339,156.74688881486,34.705562591552734,30.191944915297984,0.8350384831428528,44.24628574978954,1.089755296707153,,,29,29,0.2761448919773102,40.6020393371582,1.040398120880127,1.0,0
1850489717498327424,11.853489875793455,4338096422163308546,SB1,,,,775.0708791480995,29.742488861083984,-286.78005938244814,40.60912322998047,0.1732348609869569,0.068091981112957,40.9668226738725,16.701295852661133,-23.02677316674338,0.2386226803064346,6.420785148907491,0.3433842957019806,,,34,34,0.4117439389228821,18.69853973388672,2.2198479175567627,1.0,0
1871975415967150592,11.575384140014648,4338096422163308546,SB1,,,,10.543519156859968,0.0022734887897968,-2.668725054684943,0.5612619519233704,0.1086862214898238,0.052224013954401,97.6268168526554,19.309158325195312,-56.642094835212966,0.5292106866836548,17.43133604383275,0.9558669924736024,,,25,25,0.3643774390220642,18.23615264892578,1.3127726316452026,1.0,0
1872155662843119872,12.483526229858398,4338096422163308546,SB1,,,,53.06183332942153,0.0810941755771637,3.7047643236839503,1.1687307357788086,0.3943251458036577,0.0598237849771976,112.32221105510506,10.909029006958008,-32.327034924852875,0.5172482132911682,10.718582613878487,0.7965436577796936,,,22,22,0.5716850757598877,13.456365585327148,1.2579468488693235,0.9950000047683716,0
5926885371890645248,12.098784446716309,4338096422163308546,SB1,,,,14.234951136519078,0.0022660915274173,-5.73479819923547,1.2023630142211914,0.0480322221208505,0.0165495015680789,356.4471716649487,31.18403434753418,-0.4774520514133962,0.7016501426696777,43.66355584123738,0.8086494207382202,,,36,36,0.2656713724136352,53.99565505981445,2.993069887161255,1.0,0
5926950998993908096,12.8416109085083,4338096422163308546,SB1,,,,112.1758466512972,0.8888567686080933,48.53350859562472,20.15867042541504,0.0917168742471928,0.0934557244181633,342.8243463793606,62.26644134521485,-36.7205309797568,0.5505416989326477,10.87903441793843,0.7065725922584534,,,20,20,0.3086279928684234,15.396909713745115,0.0161762628704309,1.0,0
6873239844577520000,9.486881256103516,4338096422163308546,SB1,,,,243.9544926410884,0.6460384130477905,15.20563180990645,26.16053771972656,0.0175489873251064,0.022981921210885,277.4256066709725,38.396881103515625,-56.17201148699584,0.064693808555603,5.65036507819425,0.0617694519460201,,,25,25,0.2202524840831756,91.4750747680664,2.1675479412078857,1.0,0
