source_id,phot_g_mean_mag,solution_id,nss_solution_type,ra,dec,parallax,parallax_error,bp_rp,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags,distance_pc,M_G,m1_solar_m,p_substellar,p_degenerate_compact,p_high_mass_dark_remnant,p_systemic_artifact,most_likely_category,category_confidence,m2_p16,m2_p50,m2_p84,invalid_draw_fraction
5706266851948906496,12.477542877197266,4338096422163308546,SB1,,,0.3267221132439216,0.0134117407724261,1.1472187042236328,776.7899428572423,12.9166898727417,-255.6869314611432,98.32746124267578,0.1260923411002605,0.0847803577780723,331.8462440501917,44.09605026245117,51.80336878404255,0.6964313983917236,8.296836261933775,1.1217379570007324,,,24,24,0.3152897655963897,7.396411895751953,-0.7440892457962036,0.9990000128746032,0,3060.704982810355,0.0484355243954937,2.9184781591981928,0.0,0.9169,0.0301,0.05299999999999995,Degenerate Compact Object,0.9169,0.8100949028852781,1.0359998851306034,1.639329920994033,0.05300000000000005
5706366258971525376,7.772543430328369,4338096422163308546,SB1,,,1.9276230547209,0.0402878709137439,1.3861827850341797,212.9593129922976,0.0467258431017398,35.37160660224356,0.2314850389957428,0.2477372075168043,0.0018472822848707,345.7466482858245,0.431772768497467,15.695613354247556,0.0326940417289733,26.857913356050105,0.0540655553340911,,,32,32,0.5753664374351501,496.76568603515625,-0.7315385341644287,1.0,0,518.7736251394803,-0.8023460101671116,3.550051072312022,0.0,0.5124,0.2981,0.18950000000000006,Degenerate Compact Object,0.5124,2.416438899021322,2.737686575741357,3.7897524175383612,0.1895
5706400992367563136,10.324804306030272,4338096422163308546,SB1,,,0.6580438221058705,0.0164622366428375,1.172501564025879,164.70231714319658,0.2589474022388458,80.26623521252223,3.352839231491089,0.1028640105181211,0.009765775874257,34.57147050969891,7.478719234466553,42.041191217025386,0.1052358895540237,13.10497095346062,0.1436068713665008,,,22,22,0.3622211217880249,91.25587463378906,1.9620274305343628,1.0,0,1519.6556314438178,-0.5839216129436622,3.375920115054184,0.0,0.9246,0.036,0.039400000000000025,Degenerate Compact Object,0.9246,0.8880810056089679,1.0303594843102335,1.6769384107589946,0.03939999999999999
5707561325034599808,11.635753631591797,4338096422163308546,SB1,,,0.7147041706864685,0.0195730328559875,1.3705930709838867,175.64846219416748,0.4873178005218506,-15.389725030904335,1.2349951267242432,0.6626577840742779,0.0266632679849863,183.3997262425515,5.443315029144287,98.36885973758264,0.2554440200328827,10.18718712205398,0.5607059597969055,,,23,23,0.6000102162361145,18.168500900268555,-0.3715483844280243,0.9559999704360962,8192,1399.1803056634003,0.9063852138538522,2.395308626773465,0.0,0.9752,0.0048,0.020000000000000046,Degenerate Compact Object,0.9752,0.39334879149653285,0.47231312223469313,0.774667434594902,0.020000000000000018
5707642993830628608,11.70358180999756,4338096422163308546,SB1,,,0.9219829005455984,0.0178063344210386,0.3344497680664062,3.9086798885844183,0.0003497579600661,-1.0973429965370778,0.5502324104309082,0.0517789654788175,0.0493595823645591,272.96899186960735,52.929161071777344,52.62462046388472,1.8762552738189695,58.40096627498979,2.4031429290771484,,,12,12,0.2912050485610962,24.301912307739254,-1.5557661056518557,1.0,0,1084.6188138719642,1.5271961426650869,2.0762535390624346,0.0,0.9,0.0082,0.09179999999999998,Degenerate Compact Object,0.9,0.8909679435163677,1.0506514788935393,1.6029505770168522,0.09179999999999999
5707818198432813440,11.001261711120604,4338096422163308546,SB1,,,0.6983910020286153,0.0316902659833431,1.194414138793945,608.1098901482497,6.989307880401611,-3.058432048557395,16.545894622802734,0.1356841643941325,0.0173260495066642,47.00377892158271,10.165534019470217,13.071745327282414,0.1752700209617614,10.987934048575314,0.2431791722774505,,,32,32,0.3383838534355163,45.18452072143555,0.8281556963920593,1.0,0,1431.8626630287354,0.2217548878434652,2.804300253337453,0.0,0.8821,0.0456,0.0723,Degenerate Compact Object,0.8821,1.0758305837320457,1.2521777598375499,1.9706677930462473,0.07230000000000003
1849961642680846720,10.40016746520996,4338096422163308546,SB1,,,10.108367110413534,0.1849108040332794,0.9919776916503906,2.178538738870443,0.0002433641493553,-0.0717069438913631,0.2065666764974594,0.1872390039689306,0.1111408546566963,76.81188505383629,33.70199966430664,-10.143531322091013,0.2345346510410308,2.708802034767468,0.3756369948387146,,,16,16,0.3791965544223785,7.211222648620605,-2.011828899383545,0.9990000128746032,0,98.92794643061691,5.423572495285757,0.8465307736061353,0.9823,0.0175,0.0,0.00020000000000004736,Substellar Perturbator,0.9823,0.013847169380708632,0.017386939039729862,0.027527949816008507,0.00019999999999997797
1850306240794065536,12.75879955291748,4338096422163308546,SB1,,,0.8075201133775947,0.0240116696804761,1.3914175033569336,694.6859001374235,7.0129523277282715,-231.90369664646832,8.260199546813965,0.4835718157679966,0.0497783794999122,292.1124289200403,7.1711344718933105,-56.79984279090635,0.4277823269367218,13.49834879446218,0.7292717099189758,,,36,36,0.5012833476066589,18.509355545043945,-0.2424952834844589,1.0,0,1238.3592475701,2.2945662947450423,1.7399764509369129,0.0,0.865,0.0004,0.1346,Degenerate Compact Object,0.865,0.9397461754860422,1.117112152978281,1.63070681332178,0.13460000000000005
1850391006269941632,10.44757843017578,4338096422163308546,SB1,,,0.590131723923576,0.0299701355397701,1.9989013671875,770.1093142795902,6.837657451629639,-293.0519345328354,14.74770164489746,0.1284333560936859,0.0144597934558987,84.40616601264932,5.415770053863525,-14.290578932978116,0.1208330020308494,11.619005730069182,0.133676141500473,,,17,17,0.3313782811164856,86.9190673828125,1.5618016719818115,1.0,0,1694.536930418442,-0.6976767608672763,3.46551414710588,0.0,0.8199,0.0987,0.08140000000000004,Degenerate Compact Object,0.8199,1.441623721395514,1.6624116703747065,2.5690869495312834,0.08140000000000003
1850466460250800640,10.90523624420166,4338096422163308546,SB1,,,3.4876920622235605,0.0273279771208763,1.3144121170043943,37.798251305131195,0.0144136603921651,0.997329871517556,0.4975460469722748,0.1909031043432291,0.0115559687837958,146.81724921032526,5.25103759765625,-5.330163486296596,0.2141233831644058,21.523064367002963,0.225895494222641,,,22,22,0.2864886820316314,95.2788543701172,0.519970178604126,1.0,0,286.72256098276495,3.617926908788645,1.282942845293336,0.0,0.927,0.0,0.07299999999999995,Degenerate Compact Object,0.927,0.49061636452808405,0.5703678331201341,0.9010920048354929,0.07299999999999995
