source_id,nss_solution_type,period,eccentricity,goodness_of_fit,semi_amplitude_primary,semi_amplitude_secondary,t_periastron,arg_periastron,center_of_mass_velocity,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp,mass_ratio_q,m2_sin3i,m1_sin3i
5707576718198363008,SB2,4.555421500472605,0.010794310201187,16.219282,86.74158501909778,91.25569144699138,-1.881555015573498,26.335423096290988,50.87330846347767,2.059773,1.9578832,,124.56764297855686,-19.312554514769243,1.0060553284718188,0.022277605,45.159943,1.0370392,10.433145,0.529232,1.0520408570687259,1.2967805326789623,1.3642661030296144
1872264381364100992,SB2,9.387605226624784,0.0464467121520006,-0.109226175,79.16991825883521,79.30450274262296,-1.678830003643158,320.33643864668625,-7.158723586467344,2.3959785,2.3919125,,316.4670082011753,39.32648664067447,2.2954026869407897,0.018246034,125.802826,0.849357,8.134464,0.21325636,1.0016999447106631,1.927463870321877,1.9307404523332252
557407731919951488,SB2,7.583803274699583,0.2176334447261813,6.9915733,118.20899026381632,114.92389518929288,1.055972865498986,344.2046626042287,-20.710547443896797,1.7163132,1.7653741,,64.90665862309888,80.59598353412498,1.502574202082571,0.013638127,110.17453,1.1205369,10.794291,0.45112324,0.9722094312184562,4.693476714018978,4.563042326573459
4786687523216555392,SB2,0.85196437103965,0.0611063165492836,15.469397,65.46917556680225,152.37225127963382,0.4192634267726748,328.39366121182616,47.42961804991766,1.9755049,0.8488071,,72.2397187460331,-47.13436748792027,4.696429171222302,0.029252978,160.54533,1.3561853,7.4194145,0.21526003,2.3273891867503202,0.2726854604265619,0.6346451919808125
3176115744024213376,SB2,3.5900701260293846,0.0015514343888449,-1.7340895,74.49477234052915,82.23785682703505,1.309655129498231,343.2644223699444,20.470484978433223,1.8623248,1.686978,,65.45951324237703,-13.881902853089803,4.299399249187682,0.03549494,121.127106,1.0462617,8.213721,0.13584709,1.103941313507354,0.6806216418695311,0.751366349326982
6571917720911462656,SB2,24.65087770857808,0.5713053252342774,18.831305,43.96995609158472,41.09914314683639,9.075271373664712,309.59927025174886,-16.039454255138388,1.413775,1.5125287,,328.1725737584475,-42.84541317691015,6.5245724124831055,0.020072205,325.05508,0.9025807,8.281389,0.5398545,0.9347096699671764,0.4492673415600677,0.4199345285566416
2813575355545964288,SB2,8.721919589248529,0.2297071610211105,4.4801483,69.68263940069058,70.60725226956185,2.068778751209178,313.67925370028615,-18.523009184352873,1.5613043,1.5408589,,352.52647828288474,15.146425022955697,1.820695781441131,0.014948619,121.79692,0.9924078,10.57556,0.77974415,1.0132689128429042,1.1424456008340165,1.1576046119392422
2818674031482263168,SB2,14.8413161958037,0.4434631832068015,9.21678,50.2331165003771,55.6093789129884,0.9387428199044312,343.8571222918122,-34.27272813466412,1.2072958,1.0905757,,347.13091267712514,17.810346814596752,3.986368228228452,0.021437759,185.95079,1.0964518,10.040738,0.70571613,1.1070262565248352,0.6230054612894538,0.6896834036057923
1559109966384504832,SB2,1.6397085387665788,0.00710165864681,2.4580913,86.89364154809488,85.46479144562585,-0.3603489786159005,345.01475208633946,2.3835276759948,1.4624344,1.4868842,,205.1768805883239,50.805202173557845,4.875449324596238,0.016140662,302.06003,0.987578,8.646469,0.58611965,0.9835563330410295,0.4384768109306354,0.4312666442824606
2780446653592687488,SB2,11.049717919874992,0.051187799443996,18.626951,41.51419526853577,41.007219159342434,4.201337112044114,335.9990098443014,16.125586096302335,1.0134645,1.0259942,,8.796564220838428,14.87150428791698,6.794888936395303,0.020195467,336.45615,1.120254,9.823665,0.7920685,0.9877878854229512,0.3223530288872741,0.3184164167642439
1570234172198878848,SB2,5.125616158814635,0.0264521868344482,23.2285,66.36807111707637,70.37558209420376,0.6530450881065912,10.353650462679042,0.6759747571994772,1.8054736,1.7026616,,194.0725947891058,54.09950280479681,11.66261345193807,0.025146604,463.78482,0.9816996,6.00074,0.21768379,1.0603831166052418,0.658299314061769,0.6980494783039114
1579881527738548736,SB2,0.6522294940356463,0.2297598648912872,20.284254,52.23945252619223,55.82638660042098,0.1386248539128425,48.82689408521251,0.1074241490273628,1.2586688,1.1777972,,191.3885143059772,60.68193689733592,2.745688488222453,0.030618839,89.67317,2.102403,10.52129,0.6736908,1.0686633167227453,0.03800190396089724,0.040611240728631676
