source_id,phot_g_mean_mag,solution_id,nss_solution_type,ra,dec,parallax,parallax_error,bp_rp,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags
5706266851948906496,12.477542877197266,4338096422163308546,SB1,,,0.3267221132439216,0.013411740772426128,1.1472187042236328,776.7899428572423,12.9166898727417,-255.68693146114322,98.32746124267578,0.12609234110026055,0.08478035777807236,331.8462440501917,44.09605026245117,51.80336878404255,0.6964313983917236,8.296836261933775,1.1217379570007324,,,24,24,0.31528976559638977,7.396411895751953,-0.7440892457962036,0.9990000128746033,0
5706366258971525376,7.772543430328369,4338096422163308546,SB1,,,1.9276230547209,0.04028787091374397,1.3861827850341797,212.9593129922976,0.04672584310173988,35.37160660224356,0.2314850389957428,0.2477372075168043,0.0018472822848707438,345.7466482858245,0.43177276849746704,15.695613354247556,0.03269404172897339,26.857913356050105,0.054065555334091187,,,32,32,0.5753664374351501,496.76568603515625,-0.7315385341644287,1.0,0
5706400992367563136,10.324804306030273,4338096422163308546,SB1,,,0.6580438221058705,0.016462236642837524,1.172501564025879,164.70231714319658,0.2589474022388458,80.26623521252223,3.352839231491089,0.1028640105181211,0.009765775874257088,34.57147050969891,7.478719234466553,42.041191217025386,0.10523588955402374,13.10497095346062,0.14360687136650085,,,22,22,0.3622211217880249,91.25587463378906,1.9620274305343628,1.0,0
5707561325034599808,11.635753631591797,4338096422163308546,SB1,,,0.7147041706864685,0.01957303285598755,1.3705930709838867,175.64846219416748,0.4873178005218506,-15.389725030904335,1.2349951267242432,0.6626577840742779,0.026663267984986305,183.39972624255154,5.443315029144287,98.36885973758265,0.2554440200328827,10.18718712205398,0.5607059597969055,,,23,23,0.6000102162361145,18.168500900268555,-0.3715483844280243,0.9559999704360962,8192
5707642993830628608,11.703581809997559,4338096422163308546,SB1,,,0.9219829005455984,0.017806334421038628,0.33444976806640625,3.9086798885844187,0.0003497579600661993,-1.0973429965370778,0.5502324104309082,0.05177896547881757,0.049359582364559174,272.96899186960735,52.929161071777344,52.62462046388472,1.8762552738189697,58.40096627498979,2.4031429290771484,,,12,12,0.2912050485610962,24.301912307739258,-1.5557661056518555,1.0,0
5707818198432813440,11.001261711120605,4338096422163308546,SB1,,,0.6983910020286153,0.031690265983343124,1.1944141387939453,608.1098901482497,6.989307880401611,-3.058432048557395,16.545894622802734,0.13568416439413256,0.017326049506664276,47.00377892158271,10.165534019470215,13.071745327282414,0.17527002096176147,10.987934048575314,0.24317917227745056,,,32,32,0.33838385343551636,45.18452072143555,0.8281556963920593,1.0,0
1849961642680846720,10.400167465209961,4338096422163308546,SB1,,,10.108367110413534,0.18491080403327942,0.9919776916503906,2.178538738870443,0.00024336414935532957,-0.07170694389136317,0.2065666764974594,0.1872390039689306,0.11114085465669632,76.81188505383629,33.70199966430664,-10.143531322091013,0.23453465104103088,2.708802034767468,0.3756369948387146,,,16,16,0.37919655442237854,7.2112226486206055,-2.011828899383545,0.9990000128746033,0
1850306240794065536,12.75879955291748,4338096422163308546,SB1,,,0.8075201133775947,0.02401166968047619,1.3914175033569336,694.6859001374235,7.0129523277282715,-231.90369664646832,8.260199546813965,0.4835718157679966,0.04977837949991226,292.1124289200403,7.1711344718933105,-56.79984279090635,0.4277823269367218,13.498348794462181,0.7292717099189758,,,36,36,0.5012833476066589,18.509355545043945,-0.24249528348445892,1.0,0
1850391006269941632,10.447578430175781,4338096422163308546,SB1,,,0.590131723923576,0.029970135539770126,1.9989013671875,770.1093142795902,6.837657451629639,-293.0519345328354,14.747701644897461,0.12843335609368597,0.014459793455898762,84.40616601264932,5.415770053863525,-14.290578932978116,0.12083300203084946,11.619005730069182,0.13367614150047302,,,17,17,0.3313782811164856,86.9190673828125,1.5618016719818115,1.0,0
1850466460250800640,10.90523624420166,4338096422163308546,SB1,,,3.4876920622235605,0.027327977120876312,1.3144121170043945,37.798251305131195,0.014413660392165184,0.9973298715175559,0.4975460469722748,0.19090310434322916,0.011555968783795834,146.81724921032526,5.25103759765625,-5.330163486296596,0.21412338316440582,21.523064367002963,0.225895494222641,,,22,22,0.28648868203163147,95.27885437011719,0.519970178604126,1.0,0
