source_id,low_mass_prob,mid_mass_prob,high_mass_prob,orbital_period,eccentricity,k1,host_mass,min_companion_mass,parallax,parallax_error,goodness_of_fit,predicted_class,confidence
1850548988047789696,0.0,0.0,1.0,15.302242181042375,0.0513695094743472,105.08440971272113,2.613942117225528,4.54534811459468,0.501599200763152,0.0186375696212053,1.181205987930298,Min_Mass_>_3.0,1.0
5857059996952633984,0.0,0.0,1.0,155.0854049531785,0.036220412078669,64.18884222152049,3.625313239080873,8.580535930664414,0.4164017873893046,0.0191017668694257,0.642018735408783,Min_Mass_>_3.0,1.0
5543340020666175488,0.0,0.0,1.0,135.74654988523488,0.1836111727467754,54.52460446604213,4.051737494621769,6.042310788909685,0.2215812754080676,0.0116230593994259,-0.0849388241767883,Min_Mass_>_3.0,1.0
2027584142692981504,0.0,0.0,1.0,555.7758462746558,0.0244208661463345,28.873957467978496,2.900133050231616,4.065102432216295,0.2228584506335894,0.0385202057659626,0.5437954068183899,Min_Mass_>_3.0,1.0
5933586075026511744,0.0,0.0,1.0,483.5837545709127,0.4692507210506055,23.63620437571669,4.780857992462456,3.028637061470844,1.266298819319835,0.0669553875923156,0.0375479571521282,Min_Mass_>_3.0,1.0
3125502573803655424,0.0,0.0,1.0,140.93617817045518,0.0364915530388408,38.44284378570595,3.552027908850705,3.429979019935932,0.1798234026954011,0.0166619624942541,-0.0163347255438566,Min_Mass_>_3.0,1.0
2007282240287724416,0.0,0.0,1.0,432.4193708679843,0.0427645378387412,27.19273604203777,3.703144321855748,3.647705900336097,0.2102894139751319,0.0114116761833429,-1.6781015396118164,Min_Mass_>_3.0,1.0
4057341770718068736,0.0,0.0,1.0,614.363495668565,0.3100332114405856,25.42278804585347,2.978423876406961,3.275677425276029,0.3436329139126443,0.0244817622005939,0.7498992085456848,Min_Mass_>_3.0,1.0
461251282546634496,0.0,0.0,1.0,457.299370752597,0.0124668423112963,33.544210153412976,2.449604161662178,4.360287353157148,0.3816584922364741,0.0286997873336076,-2.134282112121582,Min_Mass_>_3.0,1.0
4057348745744951680,0.0,0.0,1.0,46.87834803707724,0.0969058741657762,56.50792813519646,2.676472407992737,3.047611794895929,0.4841470221453482,0.0406193062663078,1.6896578073501587,Min_Mass_>_3.0,1.0
455332985113567488,0.0,0.0,1.0,56.835577186472754,0.0122232287066162,78.17622314053017,2.7638080818959447,5.99993092362002,0.4098673638285362,0.0157037377357482,-0.5979356169700623,Min_Mass_>_3.0,1.0
2055293686820130176,0.0,0.03,0.97,7.156796624756763,0.1535367144301996,166.38128899331886,2.946476828412399,6.78025637280051,0.4034950886870276,0.0095492117106914,-0.027935292571783,Min_Mass_>_3.0,0.97
5543653209679862016,0.0,0.12200000000000001,0.878,772.9626829263892,0.0981592443256455,22.103792147650093,2.5424514743296056,2.952226559862831,0.352603943959651,0.0251653920859098,2.578723192214966,Min_Mass_>_3.0,0.878
