source_id,phot_g_mean_mag,solution_id,nss_solution_type,ra,dec,parallax,parallax_error,bp_rp,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags,distance_pc,M_G,m1_solar_m
384691630768513280,11.828673362731934,4338096422163308546,SB1,,,0.8713535700382031,0.0235339496284723,1.2132463455200195,137.24141667757294,0.6299431324005127,-39.44304672889054,4.940590858459473,0.1861646465192771,0.0451007187366485,16.326241477855003,13.307429313659668,-58.55342858041366,0.3059476912021637,8.547245720308833,0.37204110622406,,,25,25,0.5191799402236938,22.97392845153809,1.1246787309646606,1.0,0,1147.6397577118512,1.5296454371879236,2.0750829226014624
383808280551810560,7.814453601837158,4338096422163308546,SB1,,,1.377366127068999,0.0269406083971261,1.8364481925964355,4.275094079115527,0.0012152201961725,0.2252745882589466,0.1023623719811439,0.5002823327520755,0.1480613201856613,144.1526979968333,13.317090034484863,0.2289239035023307,0.0390470214188098,0.4639676520749384,0.0609750896692276,,,31,31,0.6112438440322876,7.609134674072266,0.4576752781867981,0.9959999918937684,0,726.0233719613645,-1.4902994062808848,4.1593928471090225
385259876418836864,11.384281158447266,4338096422163308546,SB1,,,0.5664012729227239,0.0219426229596138,1.371800422668457,647.3775353184906,13.795126914978027,283.66075319069216,60.998626708984375,0.1098586116321824,0.0481719635426998,320.2114621047311,32.268375396728516,-35.24126848158045,0.1250407546758651,2.916892348774885,0.1568280011415481,,,39,39,0.3542936146259308,18.599308013916016,0.4730407297611236,1.0,0,1765.5327553199788,0.14990226199966372,2.8510824304098557
385443975896568448,11.29912567138672,4338096422163308546,SB1,,,1.940381913599822,0.0370640456676483,0.6333961486816406,628.3395362392255,16.192584991455078,223.5349428119731,28.03362274169922,0.3764277818623961,0.1156108155846595,294.78548350918686,20.070783615112305,-11.04296910018357,0.3794225752353668,4.022925428303013,0.5383683443069458,,,29,29,0.5792154669761658,7.472440719604492,0.3842137157917022,0.9610000252723694,8192,515.3624618901889,2.7385617608445365,1.5708829424860016
385682432481928064,11.21146011352539,4338096422163308546,SB1,,,2.424810192437753,0.0248593669384717,0.5754575729370117,8.091493288802404,0.0031439822632819,-4.01365980709571,0.1324646323919296,0.497282047469532,0.0713939294219017,219.9857176244505,8.300694465637207,0.0384667082466349,0.7179879546165466,13.838486972294602,1.573224425315857,,,35,35,0.4850862324237823,8.796257019042969,0.3779842853546142,1.0,0,412.4034133140385,3.134848857901101,1.433887616992147
385700157808752640,12.800700187683104,4338096422163308546,SB1,,,5.963796386556661,0.0219338629394769,1.3651466369628906,33.62842131544337,0.0657433867454528,-0.7541658111435147,0.950596272945404,0.4400839598774956,0.0607780516147613,274.80784607217697,10.68802547454834,-8.38534351441858,0.7608463764190674,11.788308125895492,0.8457015752792358,,,29,29,0.4246750175952911,13.939087867736816,0.5380904078483582,1.0,0,167.6784274953045,6.678314225350126,0.6341158043919907
386612924260310272,12.12536334991455,4338096422163308546,SB1,,,0.9732561557861332,0.0116074392572045,1.0236263275146484,3.2093682344044385,0.0002623932086862,0.8342790109076502,0.2737670838832855,0.0860901227094995,0.0713948681950569,27.046338713501505,29.77356338500977,-49.83495184474711,1.5336406230926514,40.48883214072592,2.122344493865967,,,26,26,0.4157288074493408,19.077407836914062,0.4494068920612335,1.0,0,1027.4787311180835,2.0664991463402202,1.8337920489698853
386922608582302336,12.047843933105469,4338096422163308546,SB1,,,0.5889895122682104,0.0215522684156894,0.3673200607299804,3.0040103547743127,0.000480057351524,1.4953280997746494,0.2305428683757782,0.2333063559894451,0.1036787405610084,220.33839987291637,33.876556396484375,-13.928141425512978,1.1365633010864258,14.686043818671418,1.556755781173706,,,31,31,0.4559571444988251,9.433749198913574,-0.0068762865848839,1.0,0,1697.8231007017087,0.898381741467162,2.3997269334106766
4127504287748368256,11.751593589782717,4338096422163308546,SB1,,,0.504913531615832,0.0180998444557189,1.744929313659668,299.71904594335825,4.49676513671875,-73.47064806887067,7.622567176818848,0.3090341716596707,0.0686710253357887,304.77836122358076,12.113130569458008,64.14184488649953,0.218660220503807,5.013998888723699,0.3114610314369201,,,18,18,0.5220218300819397,16.098318099975586,0.0131037598475813,0.9950000047683716,0,1980.53713632864,0.26767863921319446,2.7748028767522745
4127603587390555648,12.010418891906738,4338096422163308546,SB1,,,0.342827410521149,0.0266608875244855,1.9153432846069336,5.272721270333584,0.0014986055903136,-2.3621971529136236,0.2635745704174042,0.167844250465018,0.0800662040710449,10.127618738725207,18.689308166503903,16.797496014433364,0.3114952147006988,8.205885655154672,0.370221734046936,,,14,14,0.344296783208847,22.164785385131836,1.2885372638702393,0.9990000128746032,0,2916.9196199331036,-0.3142034163682226,3.1726366849373866
6769476454067458048,12.441299438476562,4338096422163308546,SB1,,,1.0638332441330822,0.0114137539640069,1.252054214477539,3.908407219114626,0.0009738447843119,1.6915493033904672,0.7704043388366699,0.0631956101668589,0.1525482833385467,13.536098394007247,71.06383514404297,-8.722892122052292,0.6701807975769043,10.09223799342122,1.424936294555664,,,12,12,0.2524356245994568,7.082589149475098,-0.8935622572898865,0.9959999918937684,0,939.9969454939342,2.57566722663384,1.6309223238637531
3175255135657403264,11.53055191040039,4338096422163308546,SB1,,,1.7858034856970428,0.0201854016631841,0.6906862258911133,22.002992012041176,0.0062433760613203,10.552451479874422,0.1088847666978836,0.4512150619708115,0.0228918101638555,72.98626704964218,2.5248377323150635,55.726370751324986,0.4211898744106293,40.5959273475962,1.3141367435455322,,,23,23,0.4887398481369018,30.891706466674805,1.410383701324463,0.9990000128746032,0,559.9720282826503,2.7897202420291816,1.5524870127548176
3175398445829981696,11.72021484375,4338096422163308546,SB1,,,4.6145524122325465,0.0168322212994098,1.0821256637573242,10.92602349081357,0.0014754848089069,-4.031227247562268,0.7321890592575073,0.0553014049986227,0.0216767750680446,332.9870929527238,24.7342529296875,40.47058113517747,0.4948799908161163,31.329920363169354,0.6785255074501038,,,20,20,0.3301383256912231,46.17353439331055,0.8114455342292786,1.0,0,216.70574102683003,5.040862759157234,0.9245144938289854
