source_id,ra,dec,parallax,significance,period,ruwe,a_thiele_innes,b_thiele_innes,phot_g_mean_mag,bp_rp,wobble_amplitude,distance_pc,M_G,m1_solar_m
5706134738755178496,126.2221403893034,-21.533408883975625,0.8727307416743387,27.556398,645.6664914262063,2.0643344,-0.3549543335786911,0.1378558423852525,13.290272,0.60705185,0.3807844694916539,1145.8287788527932,2.994673370634489,1.480923630147104
5706428858115374336,125.70148108858346,-20.666216206335864,2.694090863896008,9.993315,861.3826212564949,3.981681,-0.6649429024093801,1.071828858685176,12.908158,0.917634,1.2613350727601995,371.18272935823296,5.06021919565638,0.9204031163030119
1850438697585823488,323.19466641062,30.302974169164138,0.6464548123448411,14.937965,962.6073833109916,1.7392927,-0.7134903196250352,0.3591849003790956,15.197989,1.0633583,0.7988004937773735,1546.8985316588003,4.250679863907573,1.1090011936912216
1851447499506140800,318.3577873718935,29.268751988188978,1.3903187065159393,23.759325,426.2354432739891,1.8228592,0.3877578014194434,0.0193888888456152,13.535265,0.8372345,0.3882422459912215,719.2595448175648,4.250836830823259,1.1089611118208926
1852004951900791552,319.53781988755236,30.526586650289428,1.2690670017580667,16.779305,900.6504747910711,3.9698536,-0.8355098356807115,0.6466466205657242,10.623062,0.15965557,1.0565171732670895,787.9804601448764,1.1404847587227334,2.269611504115243
1872397456632377472,313.41509502831815,37.66205927810121,0.8806023307778703,22.426912,509.13637429462983,1.8761781,0.2605557820043082,0.2593677073488411,13.717579,1.6016397,0.3676423848677824,1135.5863652060302,3.44147815307738,1.3361406738819148
5857238942470374784,192.7547410098523,-68.17273783790668,5.216912853572675,16.05386,352.7519066858879,1.8944682,0.4683284951978055,-0.4552556491187858,12.452936,1.1551113,0.6531380294155348,191.68424469946328,6.040003910343126,0.7345132068086333
5857254782310951680,194.08307223628435,-68.07422606402918,0.6365663903423865,23.54986,472.280152208947,1.6687934,0.3215126546575546,-0.1344918244916663,13.796955,0.96605873,0.3485088778783765,1570.9280527081164,2.8161735242825365,1.5430594108043227
4135064259155548800,261.085260787297,-16.973211235435453,1.099126962711505,8.28817,896.1017265211385,2.1999125,0.5572908724183167,-0.1719328681820447,14.078446,1.0757532,0.5832101059155893,909.8130006137212,4.283685308433478,1.100604968819628
5912650067876111744,261.65296363266674,-59.218122033362896,1.086026513522166,10.351465,973.4186377895549,2.669052,0.5925539633537585,-0.1199650841197707,14.419487,0.986537,0.6045757362763668,920.7878330307354,4.598689139780788,1.02360190629957
5912930649499702784,263.9950940868014,-58.547207144605835,2.962413196170144,82.20109,926.0532343645256,3.80661,-2.16882858420903,2.5890993378593077,14.059463,1.4789209,3.3774624807665368,337.56263349515734,6.417691168126037,0.6733345247610524
1793342330062995968,327.323795608579,22.20095784195806,1.9252918527584375,8.893157,607.759014040115,2.40856,0.2019420090544868,0.8662727506580535,14.727179,1.1553698,0.8894993274610344,519.4017720312183,6.149661865157885,0.7161991701813352
1793470251368942592,328.1918889044664,22.7858351525772,4.615411697150425,21.03617,332.55387097729067,1.858205,-0.4789332327564618,0.5232935595055731,14.399662,1.776267,0.7093752116183424,216.66539533567595,7.72071423192989,0.498802448671367
1795090794069451264,328.1709183672373,23.576646300502937,2.8716173568774592,13.7850685,439.9472462309497,2.3585408,0.5094490369399169,0.0507978155861492,12.519446,0.84310055,0.5119753307605097,348.2358112946429,4.8100788483459205,0.9749719364511801
1795395221352038144,331.16122533589464,24.200632600842763,2.8009051262394213,72.89763,636.7811260966529,5.327667,-0.9686125426665072,1.013415021295018,13.713115,1.1265106,1.4018631399666863,357.02744467558233,5.949606992085503,0.7499620728920545
1796641174185099520,329.70161531269173,26.303320378564475,1.6035690385125514,8.784125,488.99596420204335,1.5038412,0.2729147994471311,-0.0067060216402127,13.345084,0.80600834,0.2729971766951204,623.608947281488,4.370522311810603,1.078816968628778
5874639950961022720,226.48943855343987,-61.58623178346432,1.2119601501429569,30.042835,503.1544469694018,1.5302477,-0.2633103640798198,0.0214742667849289,13.701714,0.94402885,0.2641845793489801,825.1096373771405,4.119155701224194,1.1431005399109249
5817819148491054080,252.06927946101672,-63.77568030636797,1.2601749087285734,38.151546,502.35592130308754,2.8875735,0.2068337159564912,0.6635988922828104,13.231568,0.86717796,0.6950853730984011,793.540637155622,3.733722140761479,1.2491879490388385
5817878556483725184,250.86444060993455,-63.67038048612571,1.1050206994665417,21.87255,575.4614561099806,2.0763116,0.5844064630101949,-0.172490975001731,14.608111,0.9879494,0.6093308218571699,904.960423350222,4.824963066937769,0.9716362144838856
5542346989864848768,127.60272032296886,-36.13073015661379,1.597664853428103,25.942978,488.5411094577887,1.9906241,-0.4546970023288414,-0.0770228908098496,14.657792,1.0963268,0.4611744676752394,625.9134998521774,5.675220406891768,0.7988733973644371
5542981987882305280,126.2407929567198,-35.97087839401952,3.590448626128917,24.480679,850.6953531760886,6.5603642,-0.0866905946628516,-0.24433861005817,10.745701,0.65464973,0.2592616739284025,278.51672705261944,3.521444585063408,1.3117634971706804
