source_id,nss_solution_type,period,eccentricity,goodness_of_fit,semi_amplitude_primary,semi_amplitude_secondary,t_periastron,arg_periastron,center_of_mass_velocity,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp,mass_ratio_q,m2_sin3i,m1_sin3i,distance_pc,M_G,m1_solar_m
1852007631963153792,SB2,0.5918659249734622,0.0167162632803469,9.156801,136.58695783545036,145.61624245966814,-0.2278605689144643,325.8795123940486,-8.00530786963071,1.7097136,1.6036996,,319.54534693103494,30.58931267003954,5.102497492209594,0.038040873,134.13197,1.0383674,8.076293,0.3080349,1.0661064919177392,0.666705647590769,0.7107792190947392,195.982457909442,1.6152069996991845,2.0346012174419164
577458666480919040,SB2,4.856534178287884,0.2596937481499758,7.8261065,29.911845843428885,29.135559409230805,0.2298679041031752,10.296561842595828,55.87783292068056,0.9132763,0.93760973,,136.67219133291343,2.7186874197921616,5.813322007524939,0.017866792,325.3702,0.9654498,10.74677,0.9493141,0.9740475249083091,0.0472547686377286,0.0460283904316944,172.01868375871317,4.568891898816011,1.0306490567213564
5785968323845072128,SB2,27.646595505686644,0.7142010685573629,11.69858,51.75607341551648,50.61723410595804,12.533432672907038,73.15863867193366,-14.652912179502716,1.7831918,1.8233119,,220.15658251923412,-77.34218829281878,2.2098163156548325,0.039281644,56.255703,3.4192004,9.558285,0.6643181,0.9779960256950826,0.532745447449329,0.5210229303125922,452.5262995461553,1.2800658788036632,2.1978265333603355
6565318417764180608,SB2,13.220479724628138,0.3119050859497776,32.624935,29.00902691721735,32.10931538090226,2.682679560913792,337.477417196226,21.6502146217728,0.83404106,0.7535109,,326.4986651381984,-45.041652149530535,7.748179611269894,0.015941564,486.03635,1.2791346,10.805856,1.1461039,1.1068732319954115,0.1272944324524859,0.1408987998637047,129.06257342634115,5.251854397922049,0.8806727534612724
954726772696225536,SB2,9.815338981649653,0.012648137139132,1.3062835,58.589794139453616,62.08701817755986,2.697980281013968,29.99352210894201,27.81097992170411,0.9339657,0.8813574,,102.8270159002817,47.67335129381096,7.407850832021538,0.017243087,429.61276,0.9598629,9.928978,0.9173565,1.0596899867881813,0.8674220683302468,0.919198480128656,134.99191907015071,4.277439143016956,1.102189033770981
4535749729631071744,SB2,4.841502877845904,0.0386598818692571,-2.2734783,86.79995596171844,94.23100790990252,-0.0357004734841365,59.976746578962974,27.917715021240586,1.7587025,1.6200114,,280.1745606360191,24.02513945395318,1.1851656045518426,0.018291049,64.794846,1.1775374,11.05311,0.7033272,1.085611240994885,1.423609304401964,1.545486263643681,843.7639399585335,1.4220051952664683,2.1271566827411066
1563239457178660096,SB2,2.767147812034233,0.0129601471132909,0.9351732,107.50363014734415,103.8885332119566,1.355119328182104,37.515276313719866,-4.108732648095329,1.5089178,1.561425,,199.61832108771625,53.77763724940535,3.0100034799001456,0.012632083,238.28242,0.9214169,9.466047,0.6727886,0.9663723268653096,1.3768403374781848,1.3305404006508113,332.2255295310071,1.8588819884352592,1.9235868573657056
6515537272902339584,SB2,3.1842784509195416,0.1761939077811899,6.8601522,80.490141295288,83.59310790874369,0.4263158599799156,274.61028388732024,-22.27277460710561,2.2420802,2.1588545,,344.4252530645608,-47.270310006655215,1.8237271278157312,0.022580028,80.767265,0.963636,9.421096,0.02749443,1.0385508903764011,0.6818641623473574,0.708150632921607,548.3276443870717,0.7258952912636598,2.4969535930263818
1493926141085885440,SB2,26.44683440899808,0.0451073291673455,8.77921,59.58859198624128,60.2832478073514,8.120347659385907,345.9476145003159,-4.681574992403135,0.95072865,0.93977314,,219.58776548684932,45.66597702859558,9.80769663652604,0.010911934,898.80457,0.87320155,9.415211,0.8601246,1.0116575303754536,2.338859302379494,2.366124625740895,101.9607393111832,4.373046120741035,1.0781902194898851
1933272394631772416,SB2,6.619529092076052,0.007396241060502,-1.3769505,88.29743071033894,80.16317226322067,2.1623370400119684,46.942068429271785,-11.75661825356423,2.3607671,2.6003172,,338.41477871932625,41.1749390387121,2.438709520808239,0.02748003,88.74479,1.1831219,8.601128,0.112888336,0.9078766122447794,1.7182880951572232,1.5599935746918752,410.0529363860355,0.5369283688852153,2.607997454130908
