source_id,nss_solution_type,period,eccentricity,goodness_of_fit,semi_amplitude_primary,semi_amplitude_secondary,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp
381797823539466112,SB2,469.0516573969592,0.4067386769585803,12.532398,14.17870109334721,16.429147224113365,1.8426046,1.5902064,0.48100165,7.246598847592819,41.40136782994218,1.6484383474999917,0.031164559,52.894646,1.669408,8.73494,1.1606512
458543563370852096,SB2,102.83164399961005,0.2593121950108117,2.358778,24.263166639438037,26.536993450744422,0.69285595,0.63348866,0.3050985,33.7915903587837,57.046402222056976,11.30220900535742,0.05520879,204.71756,4.0715814,9.810107,0.998086
466178297230210816,SB2,356.53537891726154,0.15405023280866076,6.566597,18.249808836704386,18.43167295679692,0.9115832,0.90258884,0.74890524,45.51575891573437,61.195653265466774,9.092484776591949,0.042049337,216.23372,2.5676572,9.240179,0.8366251
595390807776621824,SB2,128.91156917068872,0.21411458332391914,22.289223,28.17371797212679,23.89920365779447,0.7915816,0.93316084,0.63940066,129.75064217580817,6.954141619056722,37.97131225522873,0.21876496,173.57127,9.418949,7.62569,1.1246138
596187575750053504,SB2,201.73126256639492,0.69390160993375,25.908482,19.271395567994944,20.53230436837964,0.4448573,0.41753837,0.5998946,129.0485378203051,7.498088210754906,6.609097431497671,0.028758649,229.81252,1.6543617,10.992369,1.0557728
843086760057866240,SB2,81.62565636665099,0.19326734254052755,6.6808553,21.34828880343602,20.837558834332047,0.7122472,0.72970444,0.62555486,170.50630700426993,54.649996333066014,8.567544720901354,0.025827203,331.72562,2.0137975,9.298404,0.7573528
1067685718250692352,SB2,30.50026336746103,0.1926866310625704,22.704111,39.83028038402426,45.946318644086375,1.0464653,0.9071675,0.41567546,140.0577411803217,65.01044622750807,18.178491127443205,0.033794153,537.9182,1.7525346,7.5697594,0.8870845
1097717538333601408,SB2,44.955850146952486,0.41309876999228917,7.9415536,48.10749192325717,36.67175595759267,0.9364071,1.2284167,0.44284654,124.97183794492109,70.20975462069816,11.034409365492047,0.04827264,228.58516,3.6267784,8.942332,0.8791723
1105311006155685888,SB2,194.30992703361838,0.3629433281617706,21.639217,16.368983784548732,17.773193093254182,0.62644595,0.5769522,0.6423544,93.76179224145353,68.08785791959427,12.215939479751265,0.03244517,376.51028,2.3941495,9.368724,1.0167189
1952853322331332864,SB2,196.17527234506375,0.29511843394060444,9.965725,19.838050799027776,27.344190158722157,1.088088,0.7894015,0.24337658,326.31685703537664,38.32731638979527,5.139852572605124,0.042754866,120.21679,3.0375206,8.707361,0.5663576
2035577729682322176,SB2,18.781789726289794,0.30896908766779146,7.651466,44.469011619861234,38.223771858965165,0.6429483,0.7479973,0.6407176,297.67228011370634,34.95095797149072,35.18717090001377,0.040191628,875.4851,2.1972435,7.771777,1.0216742
2913315010241053696,SB2,188.20337494140986,0.3342155904339156,21.0358,18.08340000693562,18.4203110284011,0.5020008,0.49281916,0.8485679,93.27780279845315,-23.992070966009916,14.652151392463786,0.0221775,660.6764,1.7732357,8.77457,0.9164438
2954775944455492096,SB2,57.44744339147799,0.20664652817724494,8.041281,35.74859128381156,28.39433850329871,0.77900624,0.980772,0.44588187,77.99018495740978,-28.223639442826315,9.819766847062814,0.041859612,234.5881,3.4052725,9.014599,0.8112154
3850933648291811328,SB2,255.43160850600148,0.12272732359603868,13.970273,21.230216267194717,19.890840672792443,0.8712554,0.9299227,0.39414012,142.45296554915672,3.457167668751559,3.3821205250815476,0.070859455,47.729984,3.830674,10.114444,0.7641001
4321775627212956672,SB2,33.65227446541917,0.2693491576793774,37.86216,19.71933620555902,22.857770988409843,0.8681271,0.74893105,0.6695673,294.0960760835525,15.892578264253013,17.356202638138466,0.0291699,595.00385,1.0603747,7.005516,0.6656289
4503335920679252480,SB2,194.8930675929227,0.10532147029187491,14.379432,21.204775085265364,19.31111642297323,0.69465363,0.7627717,0.5506229,269.15090173996634,17.78026755596072,3.8491516916197828,0.027105609,142.00572,1.8844782,9.421066,0.7643547
5073754341187667456,SB2,133.66380023925174,0.42949359996930053,3.176057,24.975229730901685,27.40005284839644,0.76985264,0.70172304,0.4455633,47.872276699984816,-25.53535884849847,8.314598589585328,0.031577177,263.3104,2.1968226,10.406868,1.0291529
5534280594604579584,SB2,175.47172414321855,0.1532652836999844,14.345232,24.947009315306182,20.89658881356894,0.8113224,0.96858233,0.5991426,119.74379339541072,-40.90065758422965,13.136029705131511,0.071460985,183.821,3.5288887,8.357299,0.80179167
5583755078792642304,SB2,214.1135582315305,0.187667594023861,43.614983,19.170022868406086,18.170367349288256,0.55484205,0.5853669,0.85288984,99.26843757925113,-32.22542461057691,27.546758605655107,0.048197012,571.5449,3.145419,7.474807,0.88427925
6017724140678769024,SB2,31.800379931103873,0.1464891617046641,43.80526,34.33082330217264,30.32320889307046,0.681683,0.7717763,0.7450721,247.87265000964135,-39.01373140896095,44.34148890203341,0.04883151,908.0507,2.3508732,7.0565476,1.058846
6027732067367229312,SB2,416.11122523762714,0.18059360834416435,13.777495,16.16496617325574,18.969213480510785,1.1185555,0.95319825,0.44723856,253.65195295154413,-31.334474784712842,17.1126673304529,0.11867281,144.20041,4.3702116,8.158749,0.80488396
6158160019228728448,SB2,11.966313611080569,0.16824072103009566,33.43659,32.305455315138246,32.45453982617858,1.2769289,1.2710633,0.76592517,188.88856248434888,-34.88251245600686,46.27779090989251,0.037266053,1241.8217,1.5534385,7.5019746,1.262929
6490284754986167552,SB2,24.8306324069184,0.5010242903189172,24.12967,35.28744835352459,34.08113231014316,0.5010892,0.51882553,0.89129204,349.69199765785004,-61.25323265051403,27.845216636180655,0.015203313,1831.523,1.2710246,10.4334,2.0333261
17170287112790656,SB2C,0.578633202501616,NULL,4.7126336,192.6991895361705,103.03734145027352,0.75846255,1.4184675,NULL,48.503404320805124,11.450268716894463,3.38626354306228,0.017748913,190.7871,0.9748769,10.589323,1.0282526
201616798651173120,SB2,0.4510195756265832,0.018111753852306185,6.6423607,270.94245768534415,84.75444717245523,0.507583,1.622638,NULL,74.32631887512618,40.94525331526497,3.9144662192894235,0.02510649,155.91452,1.1825231,10.274513,0.75688934
252670903098511360,SB2C,0.9960907813961232,NULL,6.028276,149.07328170889062,142.69597330073336,1.2882651,1.3458396,NULL,69.28705358046446,44.211017274005314,2.8017785632845644,0.017216701,162.73608,1.0811261,10.622461,0.9590416
286680618809984896,SB2,1.935356951380043,0.016984130520026668,9.689023,122.41574993541542,116.30821776141119,1.4585345,1.5351245,NULL,87.38404824587643,63.32661612693604,3.4833771235249094,0.0136229675,255.69885,1.0101146,9.483783,0.7497721
500972789364298112,SB2C,0.4983094726196653,NULL,7.849846,234.79558164570423,111.56486482461449,0.78031754,1.6422296,NULL,70.6924194671246,72.97824463275433,6.388512548320101,0.0203758,313.53433,0.95099026,8.317781,0.48523712
1354723983279632000,SB2,0.3701501077104233,0.03100141928618334,4.5945683,223.2078665307003,125.8870902935513,0.65873116,1.167983,NULL,255.34092977468856,42.16376341609539,7.806173086981417,0.012363614,631.3828,1.2290633,9.401396,0.7635231
1801542247270720640,SB2,1.705495853206678,0.005304342886145463,5.146952,123.55049679919487,133.62312796251004,1.5679182,1.449727,NULL,303.29083032967566,10.344133058155075,4.658544544383213,0.063583076,73.26705,3.518744,8.657106,0.71252346
1812688099719481600,SB2,1.6298760537641783,0.006965944922206989,4.352083,130.66655881927966,139.05039302034473,1.7138956,1.6105587,NULL,309.2180145440249,19.21092144192101,2.0935994577924064,0.015498871,135.08078,0.9156568,10.12257,0.56179047
