source_id,nss_solution_type,period,period_error,eccentricity,eccentricity_error,goodness_of_fit,significance,semi_amplitude_primary,semi_amplitude_primary_error,semi_amplitude_secondary,semi_amplitude_secondary_error,t_periastron,arg_periastron,center_of_mass_velocity,center_of_mass_velocity_error,m1,m2,fluxratio,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp
1797206563679149952,SB2,0.25434154987741525,4.498682e-07,0.41890769682718176,0.011453223,15.467795,66.62338,60.864625048203195,0.91356254,62.96546194770921,0.9090255,0.07929317015425325,18.475690870564378,9.88189317800352,0.50642985,1.4786263,1.4292922,,323.8603804441556,23.689715451292876,2.3076559454222263,0.027661102,83.42603,1.6391405,10.391861,0.67735386
1836943326237519104,SB2,15.245691333160593,0.00068156084,0.4025222402613842,0.0066398955,11.632221,100.94664,63.342152021972524,0.6274815,63.26667551825556,0.624076,1.410854223699775,319.7444018173279,-25.84943482205391,0.23670751,1.4896027,1.4913796,,304.2125837137988,27.75752487670524,2.4225609139405413,0.011399956,212.50616,0.82519823,10.100138,0.72025776
2027428321280783232,SB2,5.39436206002872,0.00014941911,0.020363709982791967,0.009757896,2.0736742,83.20508,83.39333646002896,1.0022626,83.44203989958234,1.0503049,-0.531402257396335,62.866877580357695,-5.855998534030954,0.5065203,1.3745303,1.3737282,,299.80151384013305,27.529833236633618,2.468210338232841,0.012258695,201.34364,0.88617903,10.672919,0.6168623
3182146874541219328,SB2,12.08455419035469,0.00060577155,0.3151818034624865,0.009685146,21.525324,105.33315,44.55567374208367,0.42299762,37.62570268539132,0.35127097,3.262959695584817,84.06784952538021,65.07750676905866,0.15127724,0.67860067,0.8035866,,74.91113993214226,-10.984111695861454,28.71840542363962,0.038857028,739.0788,2.5493948,9.300883,1.5565004
2031659482592686464,SB2,0.8738356074259324,3.6078925e-06,0.1446504688591029,0.0064279456,42.969696,97.18302,92.58241406514139,0.9526604,100.11705921955614,0.9771454,-0.07789936347017828,27.252482317475362,-35.762318782724094,0.4371089,1.6799629,1.5535309,,295.3220211281824,29.586088491401494,1.84712130758793,0.02218367,83.26491,1.1080194,10.369217,0.51079464
2803427825293084160,SB2,2.4169717193964115,3.3786262e-05,0.143516541407049,0.009511287,24.535028,62.64289,24.096255295470122,0.38466066,24.514586305000723,0.38841957,0.32043785726371865,52.82131093354039,-7.003325930619624,0.1452294,0.6357758,0.62492657,,10.92317223213832,23.884479879257974,22.810265108117175,0.069450356,328.43985,3.661367,10.320035,1.7382059
3039061138588028544,SB2,1.2239696030510412,8.747543e-06,0.0963861944784878,0.011246978,25.1663,89.281265,122.83103325181348,1.375776,123.61600801546454,1.3966696,0.5831950680015464,308.8251380356525,23.057115756528574,0.53752524,1.6929734,1.6822225,,120.50205277278653,-9.356691317347622,7.8928649206152,0.11375785,69.38304,3.3278441,7.1057286,0.3082962
233640521486451840,SB2,5.186774028364385,0.00013151104,0.027902236705211903,0.00798305,9.4947605,79.01777,84.1390092336932,1.0648112,79.25055037592222,1.0818039,-0.4493012565846486,36.33813275279028,-25.002773848773383,0.55924267,1.7679374,1.8769901,,63.3969205640501,45.49447693506388,1.557931655019842,0.015677556,99.373375,0.95944995,10.92463,0.9906931
2573508222958939520,SB2,2.871213714570047,5.3814965e-05,0.05419684575078982,0.011183198,13.305679,69.98081,40.82599827334007,0.58338845,38.891077031216184,0.5800666,0.7336585721369032,312.8717622837285,-20.877076647130917,0.32782763,0.95248353,0.9998718,,25.83371475873377,10.984850765508673,7.29417253778274,0.040731512,179.07935,2.444897,10.030499,0.8589134
1043537002634418432,SB2,34.33711833697503,0.007215072,0.34568887998133974,0.008436415,41.95099,65.75808,29.83363217439976,0.4536877,31.31719257815907,0.46867037,0.0034201829503255313,50.75250030409499,9.772226351505035,0.2229538,0.90254295,0.8597876,,136.3260541595348,63.645108309480364,6.98306776586755,0.0148073,471.5963,1.0708992,10.523444,0.9509144
