source_id,ra,dec,parallax,significance,period,ruwe,a_thiele_innes,b_thiele_innes,phot_g_mean_mag,bp_rp,wobble_amplitude
5706134738755178496,126.2221403893034,-21.533408883975625,0.8727307416743387,27.556398,645.6664914262063,2.0643344,-0.3549543335786911,0.13785584238525259,13.290272,0.60705185,0.38078446949165395
5706428858115374336,125.70148108858346,-20.666216206335864,2.694090863896008,9.993315,861.3826212564949,3.981681,-0.6649429024093801,1.071828858685176,12.908158,0.917634,1.2613350727601995
1850438697585823488,323.19466641062,30.302974169164138,0.6464548123448411,14.937965,962.6073833109917,1.7392927,-0.7134903196250352,0.3591849003790956,15.197989,1.0633583,0.7988004937773735
1851447499506140800,318.3577873718935,29.268751988188974,1.3903187065159393,23.759325,426.2354432739891,1.8228592,0.3877578014194434,0.019388888845615272,13.535265,0.8372345,0.3882422459912215
1852004951900791552,319.53781988755236,30.526586650289428,1.2690670017580667,16.779305,900.6504747910711,3.9698536,-0.8355098356807115,0.6466466205657242,10.623062,0.15965557,1.0565171732670895
1872397456632377472,313.41509502831815,37.66205927810121,0.8806023307778703,22.426912,509.13637429462983,1.8761781,0.2605557820043082,0.2593677073488411,13.717579,1.6016397,0.36764238486778245
5857238942470374784,192.7547410098523,-68.17273783790668,5.216912853572675,16.05386,352.7519066858879,1.8944682,0.46832849519780556,-0.45525564911878585,12.452936,1.1551113,0.6531380294155348
5857254782310951680,194.08307223628435,-68.07422606402918,0.6365663903423865,23.54986,472.280152208947,1.6687934,0.3215126546575546,-0.13449182449166638,13.796955,0.96605873,0.3485088778783765
4135064259155548800,261.085260787297,-16.973211235435453,1.099126962711505,8.28817,896.1017265211385,2.1999125,0.5572908724183167,-0.17193286818204473,14.078446,1.0757532,0.5832101059155893
5912650067876111744,261.65296363266674,-59.218122033362896,1.086026513522166,10.351465,973.4186377895549,2.669052,0.5925539633537585,-0.11996508411977073,14.419487,0.986537,0.6045757362763668
5912930649499702784,263.9950940868014,-58.547207144605835,2.962413196170144,82.20109,926.0532343645255,3.80661,-2.16882858420903,2.5890993378593077,14.059463,1.4789209,3.3774624807665368
1793342330062995968,327.323795608579,22.20095784195806,1.9252918527584375,8.893157,607.759014040115,2.40856,0.20194200905448684,0.8662727506580535,14.727179,1.1553698,0.8894993274610344
1793470251368942592,328.1918889044664,22.7858351525772,4.615411697150425,21.03617,332.55387097729067,1.858205,-0.4789332327564618,0.5232935595055731,14.399662,1.776267,0.7093752116183424
1795090794069451264,328.1709183672373,23.576646300502937,2.8716173568774592,13.7850685,439.9472462309497,2.3585408,0.5094490369399169,0.05079781558614921,12.519446,0.84310055,0.5119753307605097
1795395221352038144,331.16122533589464,24.200632600842763,2.8009051262394213,72.89763,636.7811260966529,5.327667,-0.9686125426665071,1.0134150212950181,13.713115,1.1265106,1.4018631399666865
1796641174185099520,329.70161531269173,26.303320378564475,1.6035690385125514,8.784125,488.99596420204335,1.5038412,0.27291479944713115,-0.006706021640212707,13.345084,0.80600834,0.27299717669512047
5874639950961022720,226.48943855343987,-61.58623178346432,1.2119601501429569,30.042835,503.1544469694018,1.5302477,-0.26331036407981984,0.02147426678492897,13.701714,0.94402885,0.26418457934898015
