source_id,solution_id,nss_solution_type,ra,dec,parallax,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,arg_periastron,arg_periastron_error,center_of_mass_velocity,center_of_mass_velocity_error,semi_amplitude_primary,semi_amplitude_primary_error,inclination,inclination_error,rv_n_obs_primary,rv_n_good_obs_primary,efficiency,significance,goodness_of_fit,conf_spectro_period,flags
5706425971897368192,4338096422163308546,SB1,,,,410.1536187072771,2.579883337020874,-108.56736052834576,2.7249467372894287,0.48759014136328155,0.027074050158262253,73.685816125785,3.7272441387176514,22.797248894722603,0.2835928201675415,12.146631404211583,0.3560219705104828,,,23,23,0.6450236439704895,34.117645263671875,1.143463134765625,0.9800000190734863,8192
5707547443700085632,4338096422163308546,SB1,,,,61.25121151007754,0.08600509166717529,-0.9739524605939273,1.699920654296875,0.3701532038737505,0.04983925446867943,40.61720727442444,14.154747009277344,37.420847422968585,0.35316845774650574,7.786101686111237,0.5457651019096375,,,32,32,0.451773077249527,14.266396522521973,-0.8431711792945862,1.0,0
5707762432579307520,4338096422163308546,SB1,,,,224.02008561440127,1.7566099166870117,70.35191758842622,14.899348258972168,0.1430917840826829,0.057575773447752,216.2759706472747,24.132638931274414,43.46023291740934,0.45704928040504456,13.729378454907168,0.7783470749855042,,,27,27,0.41530805826187134,17.63914680480957,-0.8288179039955139,1.0,0
5942071551618777984,4338096422163308546,SB1,,,,89.90351950555052,0.3839716911315918,-21.406379208976414,10.036677360534668,0.10074210294711708,0.07776836305856705,215.98529651219883,40.40747833251953,-42.63469032214905,1.3464018106460571,20.542940829548428,1.0290262699127197,,,20,20,0.30963918566703796,19.963476181030273,1.2993117570877075,1.0,0
1850752294619023488,4338096422163308546,SB1,,,,551.4085026518479,10.673916816711426,272.64540081524706,54.35466766357422,0.10659277990926398,0.07601094990968704,328.55551262430055,36.741825103759766,-33.573589991297716,0.29856598377227783,4.963469586954294,0.43900445103645325,,,28,28,0.3723333477973938,11.306194305419922,2.4691388607025146,0.9990000128746033,0
1851353349523598976,4338096422163308546,SB1,,,,2.388797365687962,0.00014112131611909717,-0.28896572563496237,0.2640395760536194,0.05626195566678068,0.03817857429385185,289.96387469368733,39.4582405090332,-8.941292000927229,0.721839964389801,25.188558089455622,1.0076698064804077,,,32,32,0.3149751126766205,24.996835708618164,0.9441017508506775,1.0,0
1851738526489400832,4338096422163308546,SB1,,,,6.908007952519519,0.0011530786287039518,3.4088150218304465,0.12972572445869446,0.24505169949611125,0.036001596599817276,6.2145773976203404,7.317549705505371,-30.5842280431234,0.9008547067642212,38.77974238723101,1.013193964958191,,,22,22,0.5613865852355957,38.27474594116211,1.2582809925079346,1.0,0
5926821909457524096,4338096422163308546,SB1,,,,147.1023685155132,0.3103465437889099,0.6031213986039182,1.3691717386245728,0.40187909328205185,0.019597049802541733,130.8653014092144,4.217170238494873,-43.05672657041105,0.2720626890659332,18.30622274716052,0.4818762540817261,,,35,35,0.5592246651649475,37.98946762084961,2.973971366882324,1.0,0
6871175064823382912,4338096422163308546,SB1,,,,11.781936281159549,0.004227690864354372,0.8508592364221375,0.2256748527288437,0.6304229589162972,0.09327419847249985,218.17289351027443,5.181538105010986,11.628369856751249,0.5310426354408264,6.940491145010044,0.4445771276950836,,,21,21,0.2775282859802246,15.611444473266602,-0.9097766876220703,0.996999979019165,0
6872254372926067712,4338096422163308546,SB1,,,,248.4897499016464,1.5996111631393433,74.70730973348046,19.004526138305664,0.08859365273472897,0.04486885666847229,349.16470664329984,28.301311492919922,16.04885184086876,0.43442368507385254,13.299830933772405,0.4713754653930664,,,26,26,0.31450870633125305,28.214941024780273,-1.2413901090621948,1.0,0
3456274777117830912,4338096422163308546,SB1,,,,738.0200353230285,8.325789451599121,-238.8735339415005,10.8372220993042,0.38964232339541893,0.025930654257535934,189.1544088117272,4.653147220611572,-68.69307414472479,0.19114097952842712,9.362484332717244,0.2626851201057434,,,24,24,0.5060891509056091,35.64147186279297,-1.044020175933838,1.0,0
